time	V(g)
Step Information: Thresholdvoltage=1.95  (Step: 151/401)
0.000000000000000e+00	1.964142e+00
9.990485759703450e-01	1.964142e+00
1.000000000000000e+00	1.964142e+00
Step Information: Thresholdvoltage=1.951  (Step: 152/401)
0.000000000000000e+00	1.965142e+00
9.990485759703450e-01	1.965142e+00
1.000000000000000e+00	1.965142e+00
Step Information: Thresholdvoltage=1.952  (Step: 153/401)
0.000000000000000e+00	1.966142e+00
9.990485759703450e-01	1.966142e+00
1.000000000000000e+00	1.966142e+00
Step Information: Thresholdvoltage=1.953  (Step: 154/401)
0.000000000000000e+00	1.967142e+00
9.990485759703450e-01	1.967142e+00
1.000000000000000e+00	1.967142e+00
Step Information: Thresholdvoltage=1.954  (Step: 155/401)
0.000000000000000e+00	1.968142e+00
9.990485759703450e-01	1.968142e+00
1.000000000000000e+00	1.968142e+00
Step Information: Thresholdvoltage=1.955  (Step: 156/401)
0.000000000000000e+00	1.969142e+00
9.990485759703450e-01	1.969142e+00
1.000000000000000e+00	1.969142e+00
Step Information: Thresholdvoltage=1.956  (Step: 157/401)
0.000000000000000e+00	1.970142e+00
9.990485759703450e-01	1.970142e+00
1.000000000000000e+00	1.970142e+00
Step Information: Thresholdvoltage=1.957  (Step: 158/401)
0.000000000000000e+00	1.971142e+00
9.990485759703450e-01	1.971142e+00
1.000000000000000e+00	1.971142e+00
Step Information: Thresholdvoltage=1.958  (Step: 159/401)
0.000000000000000e+00	1.972142e+00
9.990485759703450e-01	1.972142e+00
1.000000000000000e+00	1.972142e+00
Step Information: Thresholdvoltage=1.959  (Step: 160/401)
0.000000000000000e+00	1.973142e+00
9.990485759703450e-01	1.973142e+00
1.000000000000000e+00	1.973142e+00
Step Information: Thresholdvoltage=1.96  (Step: 161/401)
0.000000000000000e+00	1.974142e+00
9.990485759703450e-01	1.974142e+00
1.000000000000000e+00	1.974142e+00
Step Information: Thresholdvoltage=1.961  (Step: 162/401)
0.000000000000000e+00	1.975142e+00
9.990485759703450e-01	1.975142e+00
1.000000000000000e+00	1.975142e+00
