Freq.	V(ref)	V(refref)
4.78630092322635e-002	(-1.66648234696046e+001dB,-1.43145183705161e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
4.89778819368443e-002	(-1.66773173392931e+001dB,-1.46337860481008e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.01187233627269e-002	(-1.66903616174469e+001dB,-1.49595313328165e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.12861383991362e-002	(-1.67039787907232e+001dB,-1.52918426719643e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.24807460249769e-002	(-1.67181921071078e+001dB,-1.56308067957137e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.37031796370249e-002	(-1.67330255876511e+001dB,-1.59765084807473e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.49540873857621e-002	(-1.67485040370249e+001dB,-1.63290303017807e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.62341325190346e-002	(-1.67646530527503e+001dB,-1.66884523708708e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.75439937337153e-002	(-1.67814990329377e+001dB,-1.70548520644878e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
5.88843655355585e-002	(-1.67990691823719e+001dB,-1.74283037383931e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.02559586074354e-002	(-1.68173915167689e+001dB,-1.78088784304403e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.16595001861478e-002	(-1.68364948650217e+001dB,-1.81966435515037e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.30957344480189e-002	(-1.68564088692474e+001dB,-1.85916625648273e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.45654229034651e-002	(-1.68771639824408e+001dB,-1.89939946541908e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.60693448007592e-002	(-1.68987914635362e+001dB,-1.94036943813985e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.76082975391978e-002	(-1.69213233696732e+001dB,-1.98208113337141e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
6.91830970918932e-002	(-1.69447925454621e+001dB,-2.02453897619920e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.07945784384133e-002	(-1.69692326090399e+001dB,-2.06774682103903e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.24435960074985e-002	(-1.69946779347135e+001dB,-2.11170791386938e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.41310241300913e-002	(-1.70211636319833e+001dB,-2.15642485384228e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.58577575029179e-002	(-1.70487255207498e+001dB,-2.20189955440624e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.76247116628687e-002	(-1.70774001025098e+001dB,-2.24813320409048e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
7.94328234724276e-002	(-1.71072245273590e+001dB,-2.29512622711645e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.12830516164094e-002	(-1.71382365566310e+001dB,-2.34287824401923e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.31763771102666e-002	(-1.71704745210148e+001dB,-2.39138803247829e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.51138038202371e-002	(-1.72039772740152e+001dB,-2.44065348857363e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.70963589956075e-002	(-1.72387841406372e+001dB,-2.49067158869992e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
8.91250938133740e-002	(-1.72749348612048e+001dB,-2.54143835238672e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
9.12010839355904e-002	(-1.73124695302486e+001dB,-2.59294880628797e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
9.33254300796985e-002	(-1.73514285304305e+001dB,-2.64519694961754e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
9.54992586021430e-002	(-1.73918524615087e+001dB,-2.69817572131999e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
9.77237220955804e-002	(-1.74337820643826e+001dB,-2.75187696927615e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
9.99999999999993e-002	(-1.74772581403010e+001dB,-2.80629142185154e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.02329299228075e-001	(-1.75223214653591e+001dB,-2.86140866210169e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
1.04712854805089e-001	(-1.75690127004593e+001dB,-2.91721710495146e+001°)	(-1.63908787108374e+001dB,0.00000000000000e+000°)
