thresh,time,voltage
2.17,9.990485759703450e-01,2.184142e+00
2.171,9.990485759703450e-01,2.185142e+00
2.172,9.990485759703450e-01,2.186142e+00
2.173,9.990485759703450e-01,2.187142e+00
2.174,9.990485759703450e-01,2.188142e+00
2.175,9.990485759703450e-01,2.189142e+00
2.176,9.990485759703450e-01,2.190142e+00
2.177,9.990485759703450e-01,2.191142e+00
2.178,9.990485759703450e-01,2.192142e+00
2.179,9.990485759703450e-01,2.193142e+00
2.18,9.990485759703450e-01,2.194142e+00
2.181,9.990485759703450e-01,2.195142e+00
2.182,9.990485759703450e-01,2.196142e+00
2.183,9.990485759703450e-01,2.197142e+00
2.184,9.990485759703450e-01,2.198142e+00
2.185,9.990485759703450e-01,2.199142e+00
2.186,9.990485759703450e-01,2.200142e+00
2.187,9.990485759703450e-01,2.201142e+00
2.188,9.990485759703450e-01,2.202142e+00
2.189,9.990485759703450e-01,2.203142e+00
2.19,9.990485759703450e-01,2.204142e+00
2.191,9.990485759703450e-01,2.205142e+00
2.192,9.990485759703450e-01,2.206142e+00
2.193,9.990485759703450e-01,2.207142e+00
2.194,9.990485759703450e-01,2.208142e+00
2.195,9.990485759703450e-01,2.209142e+00
2.196,9.990485759703450e-01,2.210142e+00
2.197,9.990485759703450e-01,2.211142e+00
2.198,9.990485759703450e-01,2.212142e+00
2.199,9.990485759703450e-01,2.213142e+00
2.2,9.990485759703450e-01,2.214142e+00
